Candidate ID,Experience,Qualifications,Skills,Prior Job Title
CAND-001,7 Years,BA Sociology,"Project Management, Negotiation, UX Research, Data Analytics, Python, A/B Testing, Agile, Team Leadership",Data Scientist
CAND-002,0 Years,B.Sc Physics,"JIRA, A/B Testing, Communication, Market Research",Data Scientist
CAND-003,6 Years,MBA Business Administration,"Product Management, Data Analysis, ML, Team Leadership, Public Speaking, A/B Testing, Agile",Product Manager
CAND-004,2 Years,B.Eng Industrial Engineering,"Negotiation, Data Analysis, JIRA, Product Management, Public Speaking, Team Leadership, UX Research, Data Analytics",Group Product Manager
CAND-005,9 Years,B.Tech Computer Science,"Power BI, A/B Testing, Product Management, Confluence, Communication, Machine Learning",Senior Product Manager
CAND-006,0 Years,B.A. Literature,"Product Design, Confluence, Public Speaking",UX Designer
CAND-007,9 Years,Diploma in Culinary Arts,"Team Leadership, Data Science, Data Analysis, Product Strategy, UX Research, Roadmapping",Associate Product Manager
CAND-008,3 Years,B.Com Economics,"Confluence, Product Strategy, Machine Learning, UX Research, Excel",Technical Product Manager
CAND-009,4 Years,M.A. Economics,"Roadmapping, Agile, Statistics, Collaboration, Negotiation, Tableau, Product Design",Senior Product Manager
CAND-010,13 Years,B.Sc Physics,"Python, Agile, Product Strategy, Data Science, Market Research, Confluence, Roadmapping, Stakeholder Management",Product Manager
CAND-011,15 Years,M.Tech Computer Science,"UX Research, Confluence, SQL, Product Strategy, Agile, Public Speaking, Artificial Intelligence",Technical Product Manager
CAND-012,12 Years,Bachelor of Hospitality Management,"A/B Testing, Confluence, SQL, Market Research, Product Design, Negotiation",UX Designer
CAND-013,5 Years,Diploma in Culinary Arts,"Scrum, UX Research, Salesforce, Product Strategy, SQL",Project Coordinator
CAND-014,3 Years,BA Sociology,"Confluence, Salesforce",Project Coordinator
CAND-015,3 Years,B.Com Economics,"JIRA, Tableau, Scrum, Collaboration, Agile",Group Product Manager
CAND-016,13 Years,M.Eng Software Engineering,"SQL, UX Research, Product Management, Stakeholder Management, Google Analytics, Data Science, Confluence",Group Product Manager
CAND-017,1 Years,M.Sc Data Science,"Excel, Roadmapping, Customer Research, Confluence, A/B Testing, Collaboration, Data Analytics, Product Design",Data Engineer
CAND-018,2 Years,B.Eng Industrial Engineering,"Market Research, Confluence, ML, Communication, A/B Testing, Product Management, UX Research",Technical Product Manager
CAND-019,4 Years,B.Eng Industrial Engineering,"Team Leadership, Roadmapping, SQL, Negotiation, UX Research, Artificial Intelligence, Product Design, Google Analytics",Product Manager
CAND-020,7 Years,BA Fine Arts,"UX Research, Roadmapping, Google Analytics, Data Analytics",Data Engineer
CAND-021,0 Years,BA Fine Arts,"A/B Testing, Data Analytics, Confluence",Business Analyst
CAND-022,5 Years,M.Sc Data Science,"Scrum, Project Management, Customer Research, Excel, Negotiation, Machine Learning, Communication",Senior Product Manager
CAND-023,2 Years,Diploma in Information Technology,"Google Analytics, A/B Testing, UX Research, Business Intelligence, Negotiation",Business Analyst
CAND-024,13 Years,B.Eng Industrial Engineering,"Confluence, Public Speaking, Product Management, Python, Market Research, Data Analytics",Senior Product Manager
CAND-025,5 Years,BA Fine Arts,"Customer Research, Communication, JIRA, Data Analysis, Roadmapping, Product Strategy",Technical Product Manager
CAND-026,14 Years,B.Sc Computer Science,"Project Management, Collaboration, A/B Testing, Data Science, Scrum, SQL, Salesforce",Product Manager
CAND-027,7 Years,M.A. Economics,"Product Management, Stakeholder Management, Data Science, Scrum, UX Research, Public Speaking, Python, A/B Testing",Product Manager
CAND-028,4 Years,Diploma in Information Technology,"Market Research, Google Analytics, SQL, Salesforce, Machine Learning, Team Leadership, Product Design",Business Analyst
CAND-029,10 Years,M.Sc Data Science,"Roadmapping, ML, Salesforce, Power BI, Team Leadership",Group Product Manager
CAND-030,13 Years,MBA Business Administration,"Public Speaking, JIRA, Communication, Agile, AI, Excel, A/B Testing",Group Product Manager
