Candidate ID,Experience,Qualifications,Skills,Prior Job Title
CAND-001,14 Years,B.Sc Physics,"Communication, Market Research, Python, Negotiation, Roadmapping, Salesforce",Data Analyst
CAND-002,0 Years,B.Tech Computer Science,"Market Research, Business Intelligence, JIRA, Product Strategy, Roadmapping, Stakeholder Management, Power BI, Customer Research",Group Product Manager
CAND-003,10 Years,B.A. History,"SQL, Business Intelligence, A/B Testing, Stakeholder Management, Customer Research",Software Engineer
CAND-004,8 Years,B.Tech Computer Science,"Business Intelligence, Public Speaking, Communication, Confluence, Product Management, Roadmapping, Scrum",Associate Product Manager
CAND-005,5 Years,Bachelor of Hospitality Management,"A/B Testing, Customer Research, Business Intelligence, Roadmapping",Sales Executive
CAND-006,7 Years,BA Fine Arts,"Product Design, Market Research, Business Intelligence, Roadmapping",Business Analyst
CAND-007,3 Years,BA Fine Arts,"Scrum, Collaboration, Agile, Statistics",Sales Executive
CAND-008,6 Years,MBA Business Administration,"Salesforce, Google Analytics, SQL, Statistics, Team Leadership, Confluence",Sales Executive
CAND-009,15 Years,B.Sc Mathematics,"Team Leadership, Data Science, A/B Testing, SQL, Customer Research, Public Speaking, Project Management",Customer Success Manager
CAND-010,7 Years,B.A. Literature,"Collaboration, Roadmapping, Product Design, Market Research, Artificial Intelligence",Group Product Manager
CAND-011,7 Years,M.Sc Data Science,"Statistics, Public Speaking, Market Research, Google Analytics, Tableau, Negotiation",UX Designer
CAND-012,9 Years,M.Sc Statistics,"Excel, Product Management, Customer Research, UX Research, Team Leadership",Product Manager
CAND-013,2 Years,M.A. Economics,"UX Research, A/B Testing, Market Research",Operations Manager
CAND-014,6 Years,B.Com Economics,"Communication, Python, Statistics, JIRA, Salesforce",Technical Product Manager
CAND-015,11 Years,M.Sc Statistics,"Product Strategy, SQL, JIRA, Data Analytics, Stakeholder Management, Roadmapping",Group Product Manager
CAND-016,13 Years,Diploma in Culinary Arts,"Customer Research, JIRA",Business Analyst
CAND-017,5 Years,B.A. History,"Machine Learning, Power BI, Google Analytics, Customer Research, Salesforce, Team Leadership",Senior Product Manager
CAND-018,2 Years,B.Sc Mathematics,"Salesforce, Business Intelligence, Team Leadership, Project Management, Public Speaking",Business Analyst
CAND-019,0 Years,B.Com Economics,"Statistics, Agile, A/B Testing, Market Research, UX Research, Product Design, Tableau",Sales Executive
CAND-020,7 Years,B.Sc Physics,"Scrum, Team Leadership, Statistics, Market Research",Software Engineer
CAND-021,8 Years,MBA,"Communication, Agile, Scrum, Product Management, Data Analytics, Market Research, Tableau",Product Manager
CAND-022,4 Years,BA Fine Arts,"Market Research, Statistics, Communication, Project Management, Power BI, Scrum, Public Speaking",Business Analyst
