Job Id,Experience,Qualifications,Salary Range,location,Country,latitude,longitude,Work Type,Company Size,Job Posting Date,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile
590208528082711,0 to 14 Years,B.Tech,$63K-$107K,Rome,Italy,41.8719,12.5674,Part-Time,56817,2023-05-30,Marketing Analyst,Data Analyst,Idealist,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.,Eli Lilly,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""Indianapolis"",""State"":""Indiana"",""Zip"":""46285"",""Website"":""www.lilly.com"",""Ticker"":""LLY"",""CEO"":""David A. Ricks""}"
590650209040465,0 to 8 Years,MBA,$59K-$122K,Brussels,Belgium,50.5039,4.4699,Intern,128342,2022-07-30,Data Analyst,Data Scientist,SimplyHired,"Data Scientists use their expertise in data analysis and machine learning to extract valuable insights and predictions from data. They build and train models, conduct statistical analysis, and communicate findings to drive data-driven decision-making in the organization.","{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}","Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Apply machine learning algorithms and statistical techniques to extract insights from large datasets. Develop predictive models. Conduct data experiments and A/B testing.,PPL,"{""Sector"":""Energy"",""Industry"":""Utilities: Gas and Electric"",""City"":""Allentown"",""State"":""Pennsylvania"",""Zip"":""18101"",""Website"":""www.pplweb.com"",""Ticker"":""PPL"",""CEO"":""Vincent Sorgi""}"
1783868913896102,2 to 12 Years,M.Com,$57K-$116K,Brussels,Belgium,50.5039,4.4699,Part-Time,63881,2023-09-06,Data Scientist,Data Engineer,Stack Overflow Jobs,"Data Engineers design and maintain data pipelines, ensuring data availability and quality for analysis and reporting purposes.","{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}","Data integration ETL (Extract, Transform, Load) Big data technologies (e.g., Hadoop, Spark) Database management Data warehousing","Design, build, and maintain data pipelines and ETL (Extract, Transform, Load) processes. Ensure data accessibility and availability for analytics and reporting. Collaborate with data scientists and analysts.",Motorola Solutions,"{""Sector"":""Communication Equipment"",""Industry"":""Network and Other Communications Equipment"",""City"":""Chicago"",""State"":""Illinois"",""Zip"":""60661"",""Website"":""www.motorolasolutions.com"",""Ticker"":""MSI"",""CEO"":""Gregory Q. Brown""}"
1855347758167281,1 to 13 Years,B.Com,$56K-$109K,Madrid,Spain,40.4637,-3.7492,Intern,101557,2023-04-27,Marketing Analyst,Data Analyst,Idealist,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","{'Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance'}","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",Analyze marketing data to measure campaign performance and ROI. Provide insights for marketing strategy adjustments. Create data visualizations and dashboards.,Citigroup,"{""Sector"":""Financial Services"",""Industry"":""Commercial Banks"",""City"":""New York"",""State"":""New York"",""Zip"":""10013"",""Website"":""www.citigroup.com"",""Ticker"":""C"",""CEO"":""Jane Fraser""}"
798748265634578,3 to 9 Years,M.Com,$63K-$90K,Warsaw,Poland,51.9194,19.1451,Part-Time,40248,2023-02-18,Product Manager,Technical Product Manager,Internships.com,"Technical Product Managers oversee the development and enhancement of technical products. They define product requirements, prioritize features, collaborate with development teams, and ensure the product aligns with the companys strategic goals and market needs.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",Product management principles Technical background Agile development methodologies Product roadmap planning Market research and analysis Stakeholder communication Problem-solving skills,"Define product requirements, prioritize features, and collaborate with development teams to deliver technical products. Create product roadmaps and release plans. Gather and incorporate feedback from stakeholders.",State Bank of India (SBI),"{""Sector"":""Banking"",""Industry"":""Banking and Financial Services"",""City"":""Mumbai"",""State"":""Maharashtra"",""Zip"":""400021"",""Website"":""www.sbi.co.in"",""Ticker"":""SBIN"",""CEO"":""Dinesh Khara""}"
233536687601624,2 to 15 Years,M.Tech,$61K-$111K,Stockholm,Sweden,60.1282,18.6435,Part-Time,68667,2022-01-07,Data Analyst,Business Intelligence Analyst,Jobs2Careers,"Business Intelligence Analysts gather and analyze data to provide valuable insights to support decision-making within an organization. They create reports, dashboards, and data visualizations to help stakeholders understand trends, patterns, and opportunities in the data.","{'Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities'}","Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making",Gather and analyze data to provide insights for decision-making using tools like Tableau or Power BI. Create data visualizations and reports. Identify trends and patterns in data.,Newcrest Mining,"{""Sector"":""Mining and Metals"",""Industry"":""Mining"",""City"":""Melbourne"",""State"":""VIC"",""Zip"":""3000"",""Website"":""https://www.newcrest.com.au/"",""Ticker"":""NCM"",""CEO"":""Sandeep Biswas""}"
2330164382642294,1 to 10 Years,MBA,$56K-$90K,Amsterdam,Netherlands,52.1326,5.2913,Part-Time,129018,2022-09-08,Data Engineer,Big Data Engineer,SimplyHired,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","Work with large and complex datasets, using technologies like Hadoop and Spark. Develop and maintain big data solutions. Optimize data processing and storage for performance.",Micron Technology,"{""Sector"":""Technology"",""Industry"":""Semiconductors and Other Electronic Components"",""City"":""Boise"",""State"":""Idaho"",""Zip"":""83716"",""Website"":""www.micron.com"",""Ticker"":""MU"",""CEO"":""Sanjay Mehrotra""}"
1311888736246332,5 to 8 Years,MBA,$61K-$90K,Paris,France,46.603354,1.888334,Part-Time,79852,2022-05-31,Product Manager,Agile Product Owner,Jobs2Careers,"Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.","{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Agile product development Scrum or Kanban frameworks Backlog management User story writing Prioritization techniques Collaboration with development teams Product vision and strategy,"Act as the product owner in agile development, making critical decisions and ensuring product goals are met. Maintain and prioritize the product backlog. Communicate with stakeholders and development teams.",Chipotle Mexican Grill,"{""Sector"":""Restaurants"",""Industry"":""Food Services"",""City"":""Newport Beach"",""State"":""California"",""Zip"":""92660"",""Website"":""www.chipotle.com"",""Ticker"":""CMG"",""CEO"":""Brian R. Niccol""}"
2014491250503339,4 to 9 Years,MBA,$61K-$103K,Amsterdam,Netherlands,52.1326,5.2913,Temporary,90277,2023-01-08,Research Analyst,Data Analyst Researcher,LinkedIn,A Data Analyst Researcher conducts research and analysis using data to support academic or scientific inquiries. They contribute to research projects and publish findings.,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}","Data analysis techniques Research methodologies Data collection and interpretation Statistical analysis software (e.g., R, Python) Data visualization tools (e.g., Tableau, Power BI) Research report writing Critical thinking Problem-solving Communication skills Attention to detail","Focus on data analysis, data mining, and statistical analysis to extract insights from large datasets. Develop data models and visualizations. Collaborate with data scientists and analysts.",UFP Industries,"{""Sector"":""Building Materials"",""Industry"":""Building Materials, Glass"",""City"":""Grand Rapids"",""State"":""Michigan"",""Zip"":""49525"",""Website"":""www.ufpi.com"",""Ticker"":""UFPI"",""CEO"":""Matthew J. Missad""}"
1753538005597162,3 to 13 Years,B.Com,$56K-$112K,Rome,Italy,41.8719,12.5674,Temporary,85061,2022-08-25,Product Manager,Agile Product Owner,FlexJobs,"Agile Product Owners work closely with development teams in Agile environments. They define and prioritize product backlog items, communicate the product vision, and ensure that the product increments delivered align with customer needs and project objectives.","{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",Agile product development Scrum or Kanban frameworks Backlog management User story writing Prioritization techniques Collaboration with development teams Product vision and strategy,"Act as the product owner in agile development, making critical decisions and ensuring product goals are met. Maintain and prioritize the product backlog. Communicate with stakeholders and development teams.",Western Union Company,"{""Sector"":""Financial Services/Remittances"",""Industry"":""Financial Services"",""City"":""Denver"",""State"":""CO"",""Zip"":""80202"",""Website"":""https://www.westernunion.com/"",""Ticker"":""WU"",""CEO"":""Hikmet Ersek""}"
