Candidate ID,Experience,Qualifications,Skills,Prior Job Title
CAND-001,1 Years,Diploma in Information Technology,"Confluence, Scrum",UX Designer
CAND-002,15 Years,Diploma in Culinary Arts,"Data Science, SQL, JIRA, Negotiation, Communication, Confluence",Business Analyst
CAND-003,10 Years,M.Tech Computer Science,"Collaboration, Business Intelligence, Customer Research, Roadmapping, Product Design, A/B Testing, Google Analytics",Sales Executive
CAND-004,0 Years,Diploma in Culinary Arts,"Market Research, Roadmapping, Product Management, Communication, JIRA, Data Analytics",Data Scientist
CAND-005,3 Years,Diploma in Culinary Arts,"Salesforce, AI, Scrum, Product Design, Agile",Sales Executive
CAND-006,7 Years,Diploma in Information Technology,"A/B Testing, Product Strategy, Confluence, Team Leadership, Roadmapping, Data Analytics",Data Engineer
CAND-007,10 Years,M.Sc Data Science,"ML, Salesforce, Product Design, Customer Research",Product Manager
CAND-008,5 Years,BA Fine Arts,"Negotiation, Agile, Product Design, Stakeholder Management, Confluence, Business Intelligence",Operations Manager
CAND-009,7 Years,B.A. Literature,"Agile, A/B Testing, Negotiation, Statistics, Roadmapping, Project Management, Excel, Collaboration",Group Product Manager
CAND-010,5 Years,M.Tech Computer Science,"Negotiation, A/B Testing, Roadmapping, Product Management, UX Research, Power BI",Data Analyst
CAND-011,6 Years,M.Sc Data Science,"Public Speaking, Customer Research, Product Strategy, Communication, Confluence, AI",Customer Success Manager
CAND-012,12 Years,Diploma in Information Technology,"ML, Team Leadership, Product Management, UX Research, Tableau, Customer Research",UX Designer
CAND-013,7 Years,MBA,"Communication, Product Management, Negotiation, Data Analysis, Salesforce, Artificial Intelligence",Technical Product Manager
CAND-014,5 Years,B.Sc Computer Science,"Customer Research, A/B Testing, Power BI, Salesforce, Business Intelligence, Communication, UX Research, Product Design",Technical Product Manager
CAND-015,13 Years,B.Eng Industrial Engineering,"Market Research, Roadmapping, Product Management, Public Speaking, Artificial Intelligence, Data Analysis, Collaboration",Senior Product Manager
CAND-016,3 Years,M.A. Economics,"Agile, Google Analytics, Collaboration, Data Science",Customer Success Manager
CAND-017,6 Years,B.A. History,"Customer Research, Confluence, Roadmapping, Agile",Customer Success Manager
CAND-018,11 Years,B.A. History,"SQL, Artificial Intelligence, Google Analytics, A/B Testing, Confluence",UX Designer
CAND-019,3 Years,B.Sc Mathematics,"Google Analytics, Data Science, Project Management, Tableau, Customer Research",Data Scientist
CAND-020,5 Years,M.A. Economics,"Artificial Intelligence, Stakeholder Management, A/B Testing, Salesforce, Scrum, Roadmapping, Product Design",Senior Product Manager
CAND-021,8 Years,B.A. Literature,"ML, Tableau, Product Design, Salesforce, UX Research, Scrum, Team Leadership",Data Analyst
CAND-022,10 Years,B.Sc Computer Science,"Scrum, SQL, Negotiation, Google Analytics, Communication, Product Management, Artificial Intelligence, Market Research",Customer Success Manager
CAND-023,10 Years,M.Tech Computer Science,"Roadmapping, Customer Research, Product Management, Artificial Intelligence, SQL, JIRA, Stakeholder Management, Confluence",Data Engineer
CAND-024,14 Years,M.Tech Computer Science,"Google Analytics, SQL, Customer Research, Product Management, Communication, AI",Technical Product Manager
CAND-025,0 Years,Bachelor of Hospitality Management,"Power BI, Salesforce, Roadmapping, Confluence",Data Engineer
CAND-026,5 Years,B.Eng Industrial Engineering,"SQL, Salesforce, JIRA, Data Science, Agile, UX Research, Product Strategy, Team Leadership",Associate Product Manager
CAND-027,15 Years,B.Com Economics,"Team Leadership, Public Speaking, Scrum, Artificial Intelligence, Product Design, Data Analysis",Data Scientist
CAND-028,15 Years,MBA Business Administration,"Roadmapping, JIRA, Collaboration, Product Design, Power BI, Public Speaking, ML",Operations Manager
CAND-029,5 Years,B.Sc Computer Science,"Roadmapping, Python, Team Leadership, Agile, Data Analytics, Public Speaking",UX Designer
CAND-030,11 Years,B.Sc Physics,"Tableau, Customer Research, Scrum, Product Design, ML, Team Leadership, Agile",Product Manager
CAND-031,10 Years,B.Sc Mathematics,"Scrum, Data Analysis, Roadmapping, Data Analytics, Product Design, A/B Testing",Product Manager
CAND-032,2 Years,B.A. History,"Agile, Scrum, Product Design, Confluence",Customer Success Manager
CAND-033,0 Years,Bachelor of Hospitality Management,"Confluence, Data Analytics, SQL, Stakeholder Management, Product Design, Public Speaking, Salesforce",Data Engineer
CAND-034,14 Years,B.Sc Mathematics,"Roadmapping, Data Science, Communication, Product Strategy, A/B Testing",Group Product Manager
CAND-035,9 Years,M.Tech Computer Science,"Google Analytics, AI, Agile, Product Strategy, SQL, Communication, Scrum",Associate Product Manager
CAND-036,13 Years,M.Eng Software Engineering,"Project Management, Statistics, Python, A/B Testing, JIRA, Salesforce, Collaboration",Group Product Manager
CAND-037,10 Years,M.Eng Software Engineering,"Public Speaking, UX Research, Team Leadership, A/B Testing, Product Strategy, JIRA, Data Analytics",Data Engineer
CAND-038,11 Years,B.Sc Computer Science,"Stakeholder Management, Agile, Negotiation, Product Management, Salesforce, Excel, Artificial Intelligence",Associate Product Manager
CAND-039,5 Years,B.Sc Mathematics,"Market Research, Power BI, Team Leadership, Project Management, Negotiation",Group Product Manager
CAND-040,13 Years,BA Sociology,"Tableau, Negotiation, Project Management, JIRA, Scrum, Collaboration, Agile",Operations Manager
CAND-041,2 Years,BA Fine Arts,"Customer Research, Market Research, Agile, Tableau, Public Speaking",Customer Success Manager
CAND-042,6 Years,M.A. Economics,"Machine Learning, Collaboration, Confluence, Public Speaking, Product Strategy, Tableau, Market Research",Technical Product Manager
CAND-043,5 Years,B.Com Economics,"Tableau, Product Design, JIRA, Communication, Business Intelligence, Scrum",Project Coordinator
CAND-044,6 Years,B.A. Literature,"Salesforce, Google Analytics, SQL, Business Intelligence, Product Strategy, Team Leadership, Confluence, Market Research",Senior Product Manager
CAND-045,5 Years,MBA Business Administration,"Public Speaking, Agile, Business Intelligence, Product Design, Python, Roadmapping, A/B Testing, Team Leadership",Data Scientist
CAND-046,12 Years,B.Sc Physics,"Market Research, Team Leadership, Negotiation, SQL, AI, Salesforce",UX Designer
CAND-047,8 Years,M.Sc Data Science,"Customer Research, Product Management, Confluence, Team Leadership, Machine Learning, Python, Agile, Market Research",Technical Product Manager
CAND-048,9 Years,Diploma in Culinary Arts,"Product Strategy, Python, JIRA, Market Research, Communication, UX Research, Artificial Intelligence, Roadmapping",Associate Product Manager
CAND-049,10 Years,M.Eng Software Engineering,"A/B Testing, Data Analytics, UX Research, Negotiation, JIRA, SQL, Product Design",Associate Product Manager
CAND-050,9 Years,B.Com Economics,"Public Speaking, Negotiation, Data Analysis, Data Analytics, Product Strategy, Communication",Group Product Manager
CAND-051,8 Years,MBA,"Google Analytics, Product Strategy, Stakeholder Management, Artificial Intelligence, Negotiation, Python",Associate Product Manager
CAND-052,12 Years,B.Sc Mathematics,"UX Research, Machine Learning, Agile, Stakeholder Management, Power BI",Project Coordinator
CAND-053,14 Years,M.Sc Data Science,"Tableau, Customer Research, Agile, A/B Testing, Product Strategy, Stakeholder Management",Group Product Manager
CAND-054,7 Years,BA Sociology,"Agile, Scrum, Collaboration, Excel, Public Speaking",Marketing Manager
CAND-055,5 Years,B.A. Literature,"Data Analytics, Product Design, JIRA, Customer Research, Roadmapping, Team Leadership, A/B Testing, Data Analysis",Software Engineer
CAND-056,11 Years,Diploma in Information Technology,"Negotiation, Product Strategy, Statistics, Python, Google Analytics, A/B Testing",Group Product Manager
CAND-057,5 Years,BA Fine Arts,"UX Research, Team Leadership, Customer Research, Business Intelligence, Scrum, Product Strategy",Marketing Manager
CAND-058,3 Years,M.Eng Software Engineering,"Artificial Intelligence, Product Strategy, Salesforce, Public Speaking, Market Research, Scrum",Business Analyst
CAND-059,1 Years,B.Com Economics,"Google Analytics, Market Research, Product Design",UX Designer
CAND-060,6 Years,B.A. Literature,"Stakeholder Management, Agile, A/B Testing, UX Research, Business Intelligence, Project Management",Marketing Manager
