Candidate ID,Experience,Qualifications,Skills,Prior Job Title
CAND-001,13 Years,MBA,"Scrum, Data Analysis, Data Science, Market Research, Roadmapping, Product Design, Google Analytics, Team Leadership",Technical Product Manager
CAND-002,7 Years,M.Tech Computer Science,"Data Science, Team Leadership, Power BI, Google Analytics, Salesforce",Senior Product Manager
CAND-003,3 Years,BA Fine Arts,"Google Analytics, Public Speaking, Business Intelligence, Collaboration, Customer Research",Project Coordinator
CAND-004,7 Years,M.Tech Computer Science,"Python, A/B Testing, Stakeholder Management, Market Research, Product Strategy, Data Science, Scrum",Group Product Manager
CAND-005,3 Years,B.Com Economics,"Communication, Market Research, Tableau, Negotiation, Salesforce",Sales Executive
CAND-006,6 Years,M.Sc Statistics,"Negotiation, Team Leadership, Product Strategy, JIRA, Roadmapping, Data Analysis",Marketing Manager
CAND-007,11 Years,B.Sc Physics,"JIRA, Stakeholder Management, ML, Confluence, Product Management, SQL, Google Analytics",Project Coordinator
CAND-008,1 Years,M.Sc Statistics,"Machine Learning, Excel, Team Leadership, Negotiation, Product Management, UX Research, JIRA",Customer Success Manager
CAND-009,2 Years,M.Sc Data Science,"Python, Google Analytics, Project Management, Customer Research, Data Analytics, Stakeholder Management",Sales Executive
CAND-010,9 Years,B.Sc Physics,"Product Strategy, Google Analytics, SQL, Roadmapping, Collaboration, Market Research",Technical Product Manager
CAND-011,3 Years,B.A. History,"Roadmapping, Scrum, Statistics, Public Speaking, Power BI, Team Leadership, Product Design",Technical Product Manager
CAND-012,15 Years,MBA,"Google Analytics, Roadmapping, Product Management, Python, Negotiation, Machine Learning, Customer Research, Team Leadership",Senior Product Manager
CAND-013,3 Years,Bachelor of Hospitality Management,"JIRA, Confluence, Market Research",Business Analyst
CAND-014,12 Years,M.Sc Data Science,"Stakeholder Management, Data Analysis, A/B Testing, Product Strategy, Machine Learning, Agile, Public Speaking",Product Manager
CAND-015,15 Years,M.Sc Statistics,"Roadmapping, Salesforce, Product Design, Power BI, Agile, Stakeholder Management, Data Analytics, Negotiation",Business Analyst
CAND-016,4 Years,Diploma in Information Technology,"Business Intelligence, Public Speaking, Confluence, Communication, Product Design, Python",Project Coordinator
CAND-017,7 Years,B.Sc Physics,"Market Research, Google Analytics, Agile, Collaboration, Confluence, Data Analysis, ML",Senior Product Manager
CAND-018,7 Years,B.Com Economics,"AI, SQL, Product Design, Stakeholder Management, Scrum, Market Research",Technical Product Manager
CAND-019,5 Years,B.Sc Mathematics,"Data Analytics, Tableau, Customer Research, Communication, Agile",Technical Product Manager
CAND-020,7 Years,B.Eng Industrial Engineering,"Product Design, Team Leadership, Python, Confluence, Market Research, Machine Learning",Associate Product Manager
CAND-021,5 Years,B.Com Economics,"Statistics, Communication, SQL, Google Analytics, Agile, Project Management",Data Engineer
CAND-022,3 Years,Diploma in Culinary Arts,"Customer Research, JIRA, Salesforce",Data Scientist
CAND-023,2 Years,BA Sociology,"Agile, Scrum, Collaboration",Sales Executive
CAND-024,7 Years,M.A. Economics,"SQL, Product Management, JIRA, Team Leadership, Salesforce",Data Scientist
CAND-025,11 Years,M.Sc Data Science,"Google Analytics, Python, Business Intelligence, Market Research, JIRA, Customer Research, Stakeholder Management",Associate Product Manager
CAND-026,14 Years,M.Tech Computer Science,"Agile, Excel, JIRA, Product Strategy, Machine Learning, Salesforce, Stakeholder Management",Technical Product Manager
CAND-027,5 Years,B.Sc Physics,"Scrum, A/B Testing, Agile, Product Management, Confluence, Business Intelligence, Team Leadership, Tableau",Data Engineer
CAND-028,2 Years,B.Com Economics,"Roadmapping, Scrum, Customer Research, A/B Testing, Project Management",UX Designer
CAND-029,15 Years,M.Sc Data Science,"Scrum, Google Analytics, Agile, UX Research, Product Strategy",Technical Product Manager
CAND-030,11 Years,M.Sc Statistics,"Agile, Excel, Statistics, Project Management, Customer Research",Senior Product Manager
