Experience,Qualifications,Skills,Prior Job Title,Req1_Experience,Req2_Education,Req3_CoreSkill,Req4_AIML,Req5_CrossFunctional,Req6_Technical,Req7_TitleAndAI,Total_Score,Fit_Label
14 Years,B.Sc Physics,"Communication, Market Research, Python, Negotiation, Roadmapping, Salesforce",Data Analyst,Met,Partial,Gap,Gap,Partial,Met,Gap,6,Needs Review
0 Years,B.Tech Computer Science,"Market Research, Business Intelligence, JIRA, Product Strategy, Roadmapping, Stakeholder Management, Power BI, Customer Research",Group Product Manager,Gap,Met,Met,Partial,Met,Partial,Partial,9,Needs Review
10 Years,B.A. History,"SQL, Business Intelligence, A/B Testing, Stakeholder Management, Customer Research",Software Engineer,Met,Gap,Gap,Partial,Met,Met,Gap,7,Needs Review
8 Years,B.Tech Computer Science,"Business Intelligence, Public Speaking, Communication, Confluence, Product Management, Roadmapping, Scrum",Associate Product Manager,Met,Met,Met,Partial,Partial,Gap,Partial,9,Needs Review
5 Years,Bachelor of Hospitality Management,"A/B Testing, Customer Research, Business Intelligence, Roadmapping",Sales Executive,Partial,Gap,Gap,Partial,Gap,Gap,Gap,2,Likely Not a Fit
7 Years,BA Fine Arts,"Product Design, Market Research, Business Intelligence, Roadmapping",Business Analyst,Partial,Gap,Partial,Partial,Gap,Gap,Gap,3,Likely Not a Fit
3 Years,BA Fine Arts,"Scrum, Collaboration, Agile, Statistics",Sales Executive,Gap,Gap,Gap,Partial,Partial,Gap,Gap,2,Likely Not a Fit
6 Years,MBA Business Administration,"Salesforce, Google Analytics, SQL, Statistics, Team Leadership, Confluence",Sales Executive,Partial,Met,Gap,Partial,Met,Met,Gap,8,Needs Review
15 Years,B.Sc Mathematics,"Team Leadership, Data Science, A/B Testing, SQL, Customer Research, Public Speaking, Project Management",Customer Success Manager,Met,Partial,Partial,Met,Met,Met,Partial,11,Strong Fit
7 Years,B.A. Literature,"Collaboration, Roadmapping, Product Design, Market Research, Artificial Intelligence",Group Product Manager,Partial,Gap,Partial,Met,Partial,Gap,Met,7,Needs Review
7 Years,M.Sc Data Science,"Statistics, Public Speaking, Market Research, Google Analytics, Tableau, Negotiation",UX Designer,Partial,Met,Gap,Partial,Gap,Partial,Gap,5,Likely Not a Fit
9 Years,M.Sc Statistics,"Excel, Product Management, Customer Research, UX Research, Team Leadership",Product Manager,Met,Partial,Met,Gap,Met,Partial,Partial,9,Needs Review
2 Years,M.A. Economics,"UX Research, A/B Testing, Market Research",Operations Manager,Gap,Partial,Gap,Gap,Gap,Gap,Gap,1,Likely Not a Fit
6 Years,B.Com Economics,"Communication, Python, Statistics, JIRA, Salesforce",Technical Product Manager,Partial,Partial,Gap,Partial,Partial,Met,Partial,7,Needs Review
11 Years,M.Sc Statistics,"Product Strategy, SQL, JIRA, Data Analytics, Stakeholder Management, Roadmapping",Group Product Manager,Met,Partial,Met,Partial,Met,Met,Partial,11,Strong Fit
13 Years,Diploma in Culinary Arts,"Customer Research, JIRA",Business Analyst,Met,Gap,Gap,Gap,Gap,Gap,Gap,2,Likely Not a Fit
5 Years,B.A. History,"Machine Learning, Power BI, Google Analytics, Customer Research, Salesforce, Team Leadership",Senior Product Manager,Partial,Gap,Gap,Met,Met,Partial,Met,8,Needs Review
2 Years,B.Sc Mathematics,"Salesforce, Business Intelligence, Team Leadership, Project Management, Public Speaking",Business Analyst,Gap,Partial,Partial,Partial,Met,Gap,Gap,5,Likely Not a Fit
0 Years,B.Com Economics,"Statistics, Agile, A/B Testing, Market Research, UX Research, Product Design, Tableau",Sales Executive,Gap,Partial,Partial,Partial,Gap,Partial,Gap,4,Likely Not a Fit
7 Years,B.Sc Physics,"Scrum, Team Leadership, Statistics, Market Research",Software Engineer,Partial,Partial,Gap,Partial,Met,Gap,Gap,5,Likely Not a Fit
8 Years,MBA,"Communication, Agile, Scrum, Product Management, Data Analytics, Market Research, Tableau",Product Manager,Met,Met,Met,Partial,Partial,Partial,Partial,10,Needs Review
4 Years,BA Fine Arts,"Market Research, Statistics, Communication, Project Management, Power BI, Scrum, Public Speaking",Business Analyst,Gap,Gap,Partial,Partial,Partial,Partial,Gap,4,Likely Not a Fit
6 Years,BA Sociology,"UX Research, Communication, Scrum, Salesforce, AI, Product Strategy",Technical Product Manager,Partial,Gap,Met,Met,Partial,Gap,Met,8,Needs Review
7 Years,M.Tech Computer Science,"Power BI, Team Leadership, Product Design, JIRA, Data Analytics, Roadmapping, Agile",Product Manager,Partial,Met,Partial,Partial,Met,Partial,Partial,9,Needs Review
1 Years,BA Sociology,"JIRA, A/B Testing, Collaboration, Roadmapping, Google Analytics, Product Design",Operations Manager,Gap,Gap,Partial,Gap,Partial,Gap,Gap,2,Likely Not a Fit
9 Years,B.Tech Computer Science,"Confluence, Stakeholder Management, Customer Research, Data Analysis, Artificial Intelligence, Product Management, Market Research, UX Research",Senior Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
14 Years,M.Sc Data Science,"Data Analysis, Confluence, Salesforce, Stakeholder Management, Google Analytics, Artificial Intelligence, Product Design, Roadmapping",Product Manager,Met,Met,Partial,Met,Met,Met,Met,13,Strong Fit
4 Years,BA Fine Arts,"Google Analytics, Customer Research, Public Speaking, Salesforce",UX Designer,Gap,Gap,Gap,Gap,Gap,Gap,Gap,0,Likely Not a Fit
4 Years,B.Sc Computer Science,"Negotiation, Product Strategy, Agile, Business Intelligence, Public Speaking, Tableau, Salesforce",UX Designer,Gap,Met,Met,Partial,Gap,Partial,Gap,6,Needs Review
15 Years,MBA,"Power BI, Google Analytics, AI, Public Speaking, Communication, Market Research, Product Design, Roadmapping",Product Manager,Met,Met,Partial,Met,Partial,Partial,Met,11,Strong Fit
14 Years,M.Sc Data Science,"JIRA, Confluence, Salesforce, Product Strategy, SQL, Artificial Intelligence, Team Leadership, Scrum",Product Manager,Met,Met,Met,Met,Met,Met,Met,14,Strong Fit
12 Years,M.Sc Data Science,"Salesforce, Data Analytics, Scrum, Communication, Product Design",Senior Product Manager,Met,Met,Partial,Partial,Partial,Gap,Partial,8,Needs Review
9 Years,M.Tech Computer Science,"Project Management, Market Research, Statistics, Google Analytics, Data Analysis, Collaboration, UX Research",Product Manager,Met,Met,Partial,Partial,Partial,Met,Partial,10,Needs Review
3 Years,Diploma in Culinary Arts,"Salesforce, Confluence, UX Research, Stakeholder Management",Business Analyst,Gap,Gap,Gap,Gap,Met,Gap,Gap,2,Likely Not a Fit
7 Years,MBA Business Administration,"AI, Negotiation, Salesforce, Stakeholder Management, SQL, A/B Testing, Product Strategy",Group Product Manager,Partial,Met,Met,Met,Met,Met,Met,13,Strong Fit
7 Years,B.A. Literature,"Confluence, UX Research",Sales Executive,Partial,Gap,Gap,Gap,Gap,Gap,Gap,1,Likely Not a Fit
2 Years,Diploma in Culinary Arts,"Product Strategy, Google Analytics, Public Speaking, Data Science, Communication, Customer Research",Software Engineer,Gap,Gap,Met,Met,Partial,Gap,Partial,6,Needs Review
1 Years,Bachelor of Hospitality Management,"Customer Research, Confluence, Roadmapping, Project Management, JIRA",Data Analyst,Gap,Gap,Partial,Gap,Gap,Gap,Gap,1,Likely Not a Fit
